Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
JPN,127.00,122.00,113.00,122.00,143.00,132.00,118.00,133.00,144.00,153.00,140.00,141.00
AUS,68.00,48.00,73.00,67.00,71.00,60.50,50.00,70.00,56.00,64.00,84.00,72.00
GBR,258.44,265.00,278.00,304.00,293.00,293.00,352.00,315.00,311.00,302.00,324.00,330.56
ISR,37.00,32.00,34.00,46.00,23.00,39.00,27.00,27.00,23.00,28.00,29.00,28.20
FIN,26.00,26.00,19.00,21.00,26.00,16.00,22.00,17.00,13.00,17.00,24.00,21.00
LUX,1.00,1.00,2.00,1.00,1.00,3.00,6.00,1.00,1.00,1.00,1.00,1.00
HUN,106.00,90.00,69.00,54.00,71.00,36.00,42.00,35.00,39.00,34.00,33.00,43.00
KOR,20.00,24.00,27.00,42.00,56.00,35.00,44.00,36.00,46.00,41.00,48.00,49.00
NLD,86.00,98.00,65.00,44.00,79.00,93.00,80.00,77.00,89.00,68.00,72.00,93.00
POL,371.00,371.00,371.00,308.00,334.00,327.00,292.00,298.00,235.00,202.00,189.00,177.00
PRT,63.00,53.00,60.00,62.00,60.75,59.50,58.25,57.00,57.00,63.00,60.00,59.00
ITA,367.00,355.00,411.00,378.00,396.33,414.67,433.00,436.00,432.00,395.00,412.00,416.50
SWE,38.00,34.00,48.00,33.00,41.00,32.00,38.00,23.00,39.00,29.00,46.00,46.80
CHL,42.00,45.00,52.00,42.00,63.00,42.00,57.00,42.00,38.00,35.00,34.22,33.44
NZL,8.00,13.00,15.00,20.00,15.00,17.00,18.00,23.00,23.00,18.00,19.11,20.22
MEX,404.00,380.00,411.00,438.00,403.00,373.00,427.00,435.00,439.00,478.00,494.00,503.00
ISL,2.00,3.00,1.00,1.00,1.00,1.00,1.50,2.00,2.50,3.00,3.11,3.22
EST,5.00,8.00,8.00,7.00,11.00,3.00,6.00,7.00,3.00,7.00,6.00,13.00
IRL,24.00,20.00,18.00,21.00,13.00,21.00,17.00,18.00,16.00,22.00,20.00,19.60
SVN,10.00,12.00,10.00,11.00,7.00,10.00,11.00,10.00,7.00,9.00,10.00,10.00
CZE,101.00,99.00,77.00,84.00,92.00,63.00,61.00,53.00,65.00,57.00,49.00,47.00
FRA,285.00,313.00,275.00,279.00,293.00,274.00,273.00,287.00,295.00,310.00,312.78,315.56
NOR,18.00,15.00,13.00,17.00,17.00,17.00,9.00,12.00,13.00,11.00,15.00,24.00
USA,1287.00,1323.00,1352.00,1347.00,1276.00,1272.00,1327.00,1271.00,1171.00,1251.00,1231.00,1225.40
AUT,30.00,42.00,40.00,29.00,37.00,42.00,37.00,36.00,44.00,41.00,28.00,27.00
DNK,23.00,24.00,22.00,37.00,18.00,20.00,23.00,31.00,40.00,18.00,28.00,42.00
BEL,78.00,73.33,68.67,64.00,68.00,67.00,60.00,64.00,48.00,36.00,31.33,26.67
CAN,128.00,131.00,100.00,107.00,127.00,137.00,127.00,137.00,101.00,126.00,125.78,125.56
GRC,246.00,222.00,192.00,242.00,233.00,203.00,187.00,230.00,223.00,258.00,232.00,230.60
ESP,280.00,219.00,216.00,251.00,236.00,226.00,223.00,220.00,241.00,262.00,278.00,258.00
SVK,54.00,51.00,27.00,35.00,37.00,26.00,30.00,37.00,30.00,35.00,40.00,38.60
DEU,444.00,400.00,331.00,362.00,359.00,382.00,342.00,307.00,341.00,312.00,316.00,335.00
