Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ISL,32.60,25.20,27.90,21.30,17.80,25.90,30.80,27.50,26.20,19.30,17.82,16.34
DEU,1.60,1.90,2.00,2.70,4.10,5.60,8.70,9.60,12.40,15.80,17.60,18.90
MEX,1.10,1.00,1.10,1.20,1.10,1.60,1.70,2.10,2.30,2.50,3.00,3.19
GRC,0.80,1.40,1.50,2.00,1.50,1.40,0.70,0.90,0.90,0.90,0.50,0.47
ESP,27.30,26.90,27.10,29.50,25.40,26.40,24.10,23.70,24.40,25.90,25.60,25.50
AUT,0.30,0.40,0.60,0.00,0.60,0.80,0.90,1.10,1.80,1.90,2.00,2.50
USA,14.60,16.20,17.60,18.90,18.90,22.00,28.80,29.30,33.60,33.30,37.50,39.79
SWE,31.50,34.10,37.70,31.40,35.00,36.30,35.40,38.40,37.70,36.50,37.90,38.54
GBR,23.69,24.50,24.80,26.90,25.70,25.00,25.10,27.60,30.20,29.20,31.80,32.61
CZE,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.70,7.20
PRT,3.00,3.30,4.80,4.50,3.75,3.00,2.25,1.50,0.75,0.00,0.00,-0.30
BEL,27.40,27.17,26.93,26.70,24.90,24.10,24.50,24.20,25.00,25.30,25.07,24.83
DNK,18.90,22.20,25.50,22.90,22.80,28.50,31.10,31.10,34.40,37.00,37.80,35.60
KOR,30.50,32.20,28.10,21.20,22.00,19.20,17.30,16.00,20.80,17.60,16.50,16.30
CAN,19.60,20.90,21.20,21.10,21.10,22.80,29.40,29.80,32.60,32.30,33.71,35.12
FIN,61.00,58.20,64.00,59.10,52.80,48.50,45.90,41.70,37.20,34.90,32.80,27.60
JPN,2.30,2.40,2.10,2.00,2.10,2.10,2.30,2.60,2.80,2.90,3.20,3.60
NLD,38.40,41.40,47.00,47.30,46.90,44.40,47.10,42.50,45.30,43.50,45.80,44.80
NZL,17.10,21.10,22.80,23.20,24.30,22.10,23.50,23.70,26.30,24.90,25.77,26.63
AUS,15.30,14.50,16.50,16.90,18.20,22.30,26.40,27.90,30.30,30.00,31.80,33.10
SVN,3.20,2.20,3.00,6.00,3.10,4.50,3.60,0.70,0.70,0.40,0.10,-0.21
IRL,5.10,4.50,5.50,5.00,6.20,8.30,13.80,15.30,12.70,17.60,19.30,20.72
POL,0.30,0.40,0.40,0.50,0.40,0.40,0.20,0.20,0.30,0.20,0.30,0.20
NOR,15.20,15.80,17.80,21.30,21.70,25.70,25.50,25.30,28.40,28.80,30.90,31.30
ISR,11.20,10.10,10.40,13.20,10.90,7.80,7.00,10.80,18.50,16.90,19.50,20.33
FRA,18.30,18.60,19.20,20.60,16.50,17.00,15.40,14.60,14.50,14.00,13.52,13.04
EST,-0.23,-0.07,0.10,0.20,0.30,0.75,1.20,2.10,2.00,2.40,1.80,1.60
HUN,3.20,4.10,5.00,5.50,3.40,3.30,15.20,16.90,18.70,20.00,21.80,20.30
CHL,14.00,27.00,26.80,28.00,27.70,27.00,25.60,28.50,26.20,24.90,26.11,27.32
LUX,13.70,20.30,6.30,17.90,14.60,14.50,14.40,14.60,16.60,9.00,15.30,17.10
ITA,12.50,12.60,12.80,11.90,11.37,10.83,10.30,10.50,15.80,15.90,15.30,15.58
