Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SWE,2.40,2.20,2.40,2.40,2.10,2.70,2.30,2.70,2.70,2.40,2.40,2.40
DEU,2.10,2.10,2.10,2.30,2.30,2.30,2.10,2.20,2.40,2.40,2.40,2.50
EST,1.00,1.20,0.90,1.10,1.40,1.00,1.10,1.30,1.10,0.70,0.80,1.20
ESP,3.00,2.70,2.90,2.80,2.90,2.80,2.50,2.60,2.60,2.80,2.80,2.70
DNK,3.70,3.60,4.50,4.40,4.70,3.80,3.30,4.10,4.50,4.60,4.70,4.30
NZL,1.50,2.40,2.00,2.20,1.90,2.10,1.60,1.70,1.50,1.70,1.72,1.74
AUS,2.60,2.50,2.60,2.60,2.70,2.65,2.60,2.50,2.50,2.10,1.90,2.10
FIN,1.00,1.30,1.20,1.20,1.00,0.80,1.00,1.00,0.80,0.60,0.90,0.90
ISR,7.60,6.10,5.60,8.80,5.30,5.10,4.50,5.90,6.20,6.00,5.00,4.74
MEX,9.80,10.00,9.60,9.70,10.00,10.10,8.90,8.70,8.90,8.70,8.60,8.48
POL,1.90,1.90,1.90,1.70,1.90,1.80,1.40,1.40,1.30,1.20,1.10,0.90
FRA,3.60,3.60,3.50,3.60,3.30,3.20,3.20,3.00,3.00,2.90,2.82,2.74
ITA,3.90,3.50,3.70,3.50,3.50,3.50,3.50,3.60,3.30,3.30,3.30,3.24
AUT,0.80,1.30,1.10,1.10,1.10,1.60,1.40,1.60,1.80,1.70,1.60,2.00
BEL,3.05,3.03,3.02,3.00,3.20,3.10,2.80,2.90,2.90,2.90,2.88,2.87
LUX,2.10,3.00,3.30,3.00,3.00,3.40,2.70,2.80,1.10,1.90,3.70,4.30
JPN,3.00,2.80,2.70,2.70,2.60,2.60,2.50,2.40,2.20,2.20,2.20,2.20
CZE,1.00,0.80,0.90,1.10,0.60,1.10,1.00,1.10,1.30,1.30,1.30,1.40
USA,3.80,3.80,3.70,3.70,3.50,3.50,3.20,3.50,3.40,3.20,3.20,3.14
GRC,0.90,1.00,2.10,1.50,1.70,2.00,1.40,1.60,1.50,1.60,2.60,2.77
PRT,1.90,2.20,2.20,2.50,2.58,2.65,2.72,2.80,3.10,2.90,3.00,3.10
CAN,3.10,3.30,3.30,3.40,2.80,3.10,2.50,2.90,3.00,2.90,2.88,2.86
IRL,3.60,3.30,3.70,2.70,2.70,3.40,2.70,3.00,2.30,2.30,2.20,2.06
ISL,2.10,0.90,0.90,0.80,2.10,2.10,2.10,2.40,0.70,1.80,1.77,1.73
SVK,1.40,1.60,1.60,1.30,1.50,1.30,1.40,1.70,1.60,1.20,0.90,0.85
CHE,2.00,2.20,1.90,2.20,2.10,2.20,2.00,1.70,1.90,1.80,1.80,1.78
NLD,2.70,3.00,3.70,3.50,3.50,3.40,3.10,3.10,2.80,2.80,2.60,2.50
NOR,1.80,2.70,2.60,2.30,2.50,2.20,2.70,2.30,2.10,2.40,2.70,2.60
HUN,1.50,1.30,1.50,1.20,1.40,2.10,2.00,2.00,2.30,2.50,2.20,2.00
GBR,1.93,1.90,2.00,2.00,1.90,1.90,1.80,1.80,1.60,1.70,1.60,1.57
CHL,3.70,3.90,3.50,3.10,3.40,3.70,3.70,3.70,3.20,4.20,4.26,4.31
KOR,1.90,1.70,1.90,1.60,1.60,1.50,1.50,1.60,1.60,1.80,1.90,1.70
SVN,2.40,1.40,2.30,2.10,1.00,1.80,1.00,2.10,1.50,1.50,1.70,1.63
