Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,2.33,2.30,2.20,2.20,2.40,2.50,1.80,1.70,1.90,1.90,2.00,1.97
MEX,15.60,15.10,14.40,13.60,11.80,11.20,8.50,8.40,8.00,7.60,7.50,6.69
NZL,1.00,1.50,1.30,1.10,1.30,1.40,1.30,0.70,0.60,0.60,0.56,0.51
CAN,4.00,4.00,4.20,3.60,3.90,3.60,3.30,3.40,3.10,3.10,3.00,2.90
ESP,1.30,1.50,1.30,1.50,1.40,1.30,1.30,1.10,1.00,1.10,1.10,1.00
HUN,10.40,6.90,6.60,7.60,8.40,9.60,9.00,7.40,6.90,6.50,6.90,6.20
USA,4.10,4.10,4.20,4.20,4.30,4.20,3.90,3.40,3.30,3.20,3.40,3.33
FIN,9.40,8.00,7.30,7.40,7.30,5.00,5.30,4.60,4.60,4.70,5.30,4.40
LUX,8.10,9.60,5.90,8.30,6.50,6.60,4.70,5.50,4.43,3.37,2.30,3.00
DEU,9.20,8.50,8.70,8.90,8.40,8.60,7.90,8.00,8.10,8.00,8.20,8.00
BEL,3.95,4.03,4.12,4.20,4.20,4.20,4.00,4.20,5.10,4.70,4.78,4.87
GRC,0.30,0.10,0.30,0.30,0.30,0.40,0.40,0.60,0.50,0.30,0.40,0.41
POL,6.70,6.90,6.30,7.00,7.90,7.60,8.80,9.50,9.00,7.60,6.60,7.60
ITA,0.50,0.50,0.40,0.70,0.63,0.57,0.50,0.60,0.60,0.60,0.60,0.61
SVK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SWE,7.80,5.70,6.50,6.80,7.40,5.60,5.00,5.20,4.80,4.60,4.20,3.84
FRA,8.40,8.50,8.50,8.40,7.70,8.10,7.40,7.60,7.80,7.30,7.18,7.06
JPN,0.60,0.60,0.60,0.60,0.60,0.60,0.40,0.40,0.40,0.40,0.40,0.40
NLD,2.60,3.30,2.50,2.00,1.90,2.10,1.90,1.90,1.90,2.00,1.50,1.80
PRT,0.70,1.40,2.60,1.90,1.95,2.00,2.05,2.10,2.40,2.20,2.40,1.70
SVN,11.90,11.60,12.50,8.60,8.20,8.20,5.60,6.00,9.00,9.30,10.50,10.36
AUS,2.60,2.40,2.40,2.30,2.00,2.10,2.20,2.30,2.40,2.10,2.00,1.90
EST,2.90,6.90,8.40,17.40,17.50,23.50,18.30,30.70,20.50,13.90,11.70,11.70
ISL,2.60,0.90,0.80,0.90,2.00,1.70,4.90,3.20,2.30,1.40,1.27,1.13
IRL,3.60,4.10,3.50,2.00,2.70,2.30,2.90,2.78,2.67,2.55,2.43,2.32
CHL,6.40,7.50,9.40,8.70,7.20,6.80,4.00,4.50,4.10,3.50,3.18,2.86
ISR,2.10,2.00,1.50,1.80,1.70,1.70,1.10,1.20,1.00,0.90,0.80,0.67
AUT,6.00,6.70,6.20,7.70,8.00,6.50,6.80,7.50,7.90,9.50,8.10,7.70
DNK,14.10,14.80,18.00,15.80,19.60,20.60,21.40,22.10,22.40,19.20,18.20,16.70
NOR,7.90,8.50,7.60,6.60,7.00,6.10,6.50,5.10,6.10,5.40,7.10,6.70
CZE,1.40,1.60,1.70,2.40,2.60,3.90,2.40,2.30,2.50,1.90,2.00,2.20
KOR,6.80,6.50,5.60,4.90,4.80,5.00,4.70,3.80,3.60,3.20,3.00,2.90
