Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KOR,3.90,3.50,3.70,2.30,2.10,1.60,1.80,2.10,1.70,1.60,1.80,1.70
CHE,3.30,2.50,2.30,2.20,1.80,2.10,2.20,1.70,1.70,1.90,1.60,1.43
DEU,3.70,3.70,3.80,3.80,4.00,3.50,3.40,3.20,2.90,2.80,2.70,2.50
AUS,3.10,2.80,2.50,2.30,2.10,1.85,1.60,1.80,1.40,1.40,1.40,1.30
AUT,3.20,3.10,3.50,2.70,2.80,2.60,2.00,2.30,1.70,2.00,1.70,1.60
USA,1.90,1.80,1.60,1.50,1.40,1.30,1.20,1.10,1.10,1.00,1.00,0.91
IRL,6.30,5.00,5.20,4.20,5.00,4.30,3.80,3.30,3.50,3.00,2.20,1.79
FRA,1.60,1.50,1.40,1.50,1.30,1.30,1.10,1.10,1.20,1.10,1.04,0.99
PRT,3.60,3.50,3.60,3.20,2.88,2.55,2.22,1.90,1.80,1.90,1.80,1.40
SVN,8.10,8.70,7.60,6.50,6.30,5.70,4.70,4.70,4.70,4.30,3.20,2.71
ITA,2.80,2.60,2.20,1.70,1.57,1.43,1.30,1.10,1.10,1.00,0.90,0.71
FIN,5.40,5.00,4.30,4.30,4.40,4.50,3.70,3.70,2.80,3.30,2.80,2.30
POL,5.20,5.00,5.00,5.00,5.00,4.90,4.70,5.00,4.80,4.30,4.00,4.10
ISL,2.30,3.10,2.20,3.60,1.80,2.90,1.70,2.20,2.00,1.10,0.97,0.83
JPN,2.90,2.80,2.50,2.40,2.20,2.10,2.00,1.90,1.80,1.70,1.70,1.60
GBR,7.01,6.70,6.60,6.40,6.00,5.40,5.20,4.60,4.60,4.30,3.90,3.59
LUX,2.70,3.90,2.20,2.70,1.80,3.50,1.00,0.90,1.40,1.00,0.90,0.60
NLD,2.80,2.70,2.90,2.60,2.50,2.00,1.90,1.50,1.30,1.30,1.10,1.10
BEL,2.90,2.80,2.70,2.60,2.30,2.60,2.40,2.40,2.10,2.00,1.90,1.80
ESP,1.80,1.70,1.60,1.50,1.30,1.30,1.10,1.00,0.90,0.90,0.90,0.90
HUN,10.50,8.80,8.30,9.00,8.30,7.50,8.20,8.10,7.50,7.50,7.10,7.10
SWE,4.10,3.90,3.90,4.10,3.50,3.20,3.40,3.50,3.20,3.00,2.40,2.23
NOR,5.50,5.40,5.20,4.90,4.70,4.40,4.00,3.30,3.70,3.60,3.70,3.10
EST,6.30,5.60,6.60,4.20,5.10,5.90,5.20,5.70,5.00,6.30,4.80,4.40
GRC,3.00,2.80,3.30,3.20,2.80,2.90,2.80,2.90,2.60,2.60,2.80,2.78
SVK,6.60,6.60,6.80,6.10,6.40,6.00,6.10,6.00,6.00,5.20,4.90,4.73
MEX,8.70,8.10,7.90,7.80,7.60,7.50,7.00,6.00,5.90,5.60,5.30,4.96
NZL,3.80,2.60,3.10,2.80,2.60,2.50,2.70,2.10,2.20,2.20,2.02,1.84
DNK,10.40,9.90,9.90,8.80,8.40,8.70,8.00,7.00,7.00,6.90,6.90,5.40
CZE,6.80,6.70,6.60,6.00,6.50,6.20,6.40,5.40,5.00,5.30,4.50,4.20
CAN,1.70,1.80,1.60,1.50,1.50,1.30,1.20,1.30,1.30,1.20,1.14,1.09
ISR,2.10,1.60,1.40,1.60,1.40,1.00,1.10,0.90,0.70,0.70,0.70,0.56
CHL,3.30,3.20,2.90,2.80,2.40,2.40,2.20,2.10,1.80,1.60,1.41,1.22
