Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MEX,2.30,2.40,2.50,2.90,2.90,3.40,3.40,3.20,3.50,3.30,3.40,
NOR,5.70,7.30,7.40,9.70,11.40,11.20,11.90,12.30,13.70,14.10,13.80,15.90
SVK,1.30,1.60,2.10,2.70,3.00,4.40,3.70,5.40,5.10,4.60,5.60,
BEL,,,,14.70,13.00,15.40,15.20,15.70,17.60,17.70,,
FIN,15.70,17.40,22.90,24.80,27.70,30.20,36.90,42.40,47.10,55.90,62.90,68.40
IRL,,,,,,,,13.80,11.70,13.90,11.50,
CHE,14.10,16.50,17.20,17.90,16.10,17.30,16.50,16.90,15.90,17.40,17.20,
CHL,5.60,9.10,9.20,9.30,10.90,12.10,13.20,14.30,14.40,15.60,,
GBR,,8.60,8.90,9.60,9.00,9.00,9.00,10.10,10.90,10.70,11.40,
LUX,12.40,11.10,11.00,13.30,11.40,11.50,11.50,10.90,12.10,11.40,14.20,13.30
POL,3.60,4.00,4.20,4.10,4.90,5.50,5.50,5.30,5.30,5.80,5.90,6.20
PRT,,,8.80,11.70,,,,12.40,12.10,13.20,13.20,12.00
SVN,1.70,1.60,2.90,2.90,3.00,2.90,2.40,1.70,3.10,2.20,2.70,
AUS,11.70,11.30,12.60,10.80,11.50,,12.00,13.00,13.80,12.90,14.30,15.30
DEU,5.10,5.20,5.50,5.60,5.00,5.20,5.40,4.70,4.90,5.00,4.80,5.10
ESP,13.80,15.70,16.80,20.10,18.50,20.40,20.10,21.20,21.30,21.90,21.80,22.20
HUN,1.60,1.50,1.30,1.50,1.80,2.00,2.10,2.10,2.50,2.40,2.80,2.80
ISL,27.30,19.20,25.90,32.70,28.90,36.90,32.30,38.80,47.30,39.50,,
ISR,7.00,7.30,6.70,9.00,8.00,8.80,9.20,8.40,9.30,9.60,9.40,
KOR,1.00,1.90,6.10,7.40,6.80,6.20,6.30,8.60,8.90,8.20,8.70,9.60
AUT,,,5.40,7.60,6.40,6.80,7.30,7.70,8.90,8.10,9.70,9.90
CAN,22.30,23.70,23.30,22.80,22.50,22.40,21.10,21.20,22.60,20.60,,
FRA,13.30,14.70,16.90,20.10,18.70,20.80,20.90,21.60,23.40,22.90,,
SWE,7.40,9.70,10.50,11.30,12.30,12.80,13.60,14.50,14.80,15.40,16.60,
NZL,12.40,13.90,13.60,13.70,14.60,13.70,14.70,14.40,15.60,15.30,,
USA,22.30,23.60,25.30,26.80,27.30,28.80,28.30,29.00,30.70,28.60,29.80,
CZE,6.30,7.40,7.50,8.50,8.60,9.90,10.70,5.30,5.40,4.20,4.10,10.20
DNK,4.80,6.50,7.90,7.70,9.60,10.40,11.00,12.10,12.30,12.40,15.40,14.70
ITA,,,,9.70,,,9.50,10.60,11.20,11.30,11.10,
JPN,0.60,0.70,0.80,0.90,1.10,1.10,1.30,1.40,1.60,1.70,1.90,2.50
NLD,5.60,6.10,6.90,7.10,6.90,7.40,8.60,8.60,10.10,10.80,12.10,12.80
EST,2.40,1.60,1.80,1.70,3.10,2.30,3.80,4.00,2.50,3.10,4.80,4.30
