Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
BEL,,,,60.00,32.00,36.00,21.00,26.00,58.00,30.00,,
FIN,39.00,17.00,17.00,15.00,24.00,13.00,3.00,18.00,16.00,11.00,10.00,12.00
SWE,94.00,22.00,28.00,21.00,42.00,14.00,21.00,9.00,25.00,18.00,23.00,
CAN,44.00,46.00,57.00,66.00,69.00,77.00,78.00,95.00,71.00,61.00,,
CZE,4.00,1.00,,1.00,3.00,3.00,2.00,2.00,1.00,1.00,2.00,4.00
GBR,,962.00,971.00,842.00,845.00,879.00,874.00,942.00,1026.00,905.00,795.00,
NLD,13.00,10.00,14.00,6.00,12.00,9.00,12.00,6.00,16.00,16.00,9.00,12.00
NZL,9.00,12.00,16.00,11.00,8.00,6.00,6.00,1.00,,1.00,,
CHL,3.00,3.00,10.00,9.00,7.00,14.00,,,4.00,5.00,,
ESP,30.00,33.00,110.00,141.00,162.00,104.00,72.00,40.00,71.00,43.00,38.00,22.00
EST,,2.00,,,1.00,1.00,,,,1.00,,1.00
FRA,120.00,122.00,118.00,117.00,141.00,141.00,163.00,167.00,169.00,197.00,,
HUN,1.00,,2.00,,,2.00,,,,2.00,,5.00
ISR,23.00,24.00,27.00,15.00,34.00,24.00,19.00,21.00,22.00,18.00,15.00,
NOR,283.00,302.00,215.00,31.00,26.00,20.00,14.00,17.00,13.00,19.00,17.00,23.00
SVK,7.00,1.00,3.00,,2.00,,,,,,,
DNK,16.00,14.00,27.00,32.00,38.00,27.00,26.00,21.00,27.00,37.00,33.00,35.00
MEX,104.00,104.00,116.00,77.00,85.00,125.00,79.00,63.00,96.00,93.00,73.00,
USA,1368.00,1387.00,1507.00,1643.00,1717.00,1842.00,1900.00,1355.00,1224.00,1110.00,1167.00,
SVN,6.00,8.00,4.00,1.00,4.00,1.00,2.00,1.00,,,,
DEU,904.00,610.00,548.00,551.00,506.00,608.00,495.00,575.00,704.00,672.00,615.00,578.00
ITA,,,,354.00,,,265.00,216.00,137.00,102.00,97.00,
LUX,2.00,,1.00,2.00,,2.00,1.00,,,,,
AUT,,,65.00,154.00,144.00,148.00,151.00,134.00,174.00,176.00,164.00,181.00
AUS,385.00,94.00,80.00,60.00,41.00,,10.00,19.00,18.00,30.00,29.00,40.00
ISL,1.00,,3.00,,,1.00,1.00,,,1.00,,
JPN,3.00,2.00,3.00,2.00,3.00,1.00,2.00,2.00,1.00,2.00,2.00,1.00
KOR,,1.00,,2.00,1.00,,1.00,2.00,,1.00,1.00,
POL,14.00,11.00,10.00,17.00,12.00,11.00,9.00,9.00,3.00,3.00,6.00,3.00
PRT,,,19.00,13.00,,,,11.00,16.00,17.00,21.00,5.00
