Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GBR,,2.00,2.10,2.00,1.90,2.00,1.90,1.80,1.60,1.80,1.50,
IRL,3.50,3.00,4.00,3.50,3.40,3.50,3.30,3.20,3.30,2.30,2.70,
NLD,3.20,2.90,4.00,3.50,4.30,3.60,3.60,3.50,3.00,3.30,2.90,2.70
CHE,2.40,2.80,2.00,2.30,1.90,2.40,2.20,1.80,2.00,2.10,1.90,
CZE,1.10,0.90,1.00,1.20,0.60,1.10,1.20,1.20,1.30,1.60,1.40,1.50
DNK,4.20,4.40,4.20,5.00,5.20,3.60,3.90,4.50,5.00,4.70,5.50,5.30
FRA,4.30,4.20,4.30,4.10,4.00,3.80,3.60,3.70,3.50,3.50,,
POL,2.10,2.20,2.10,2.00,2.10,2.00,1.70,1.50,1.40,1.20,1.20,1.00
DEU,2.40,2.30,2.20,2.40,2.40,2.40,2.30,2.40,2.60,2.60,2.60,2.50
ESP,3.20,2.70,3.20,3.00,3.10,3.00,2.70,2.80,2.80,2.80,3.00,2.80
JPN,3.40,3.10,3.10,3.10,3.00,3.00,2.90,2.70,2.50,2.40,2.60,2.60
NZL,1.80,2.80,2.10,2.20,2.00,1.60,1.40,1.70,1.80,1.90,,
BEL,,,,3.10,3.40,3.50,3.30,3.00,2.90,3.40,,
CHL,4.30,4.00,3.20,4.10,3.70,4.10,3.70,4.40,3.70,4.90,,
HUN,1.90,1.60,1.50,1.50,1.50,2.70,2.30,2.00,2.30,2.60,2.20,2.20
LUX,5.30,3.20,5.10,2.40,3.10,0.90,2.40,2.20,1.00,0.40,3.50,3.80
PRT,2.20,2.70,2.60,2.70,,,,3.40,3.70,3.00,3.50,3.50
SVK,1.50,2.00,1.80,1.10,1.80,1.90,1.60,1.60,2.00,1.30,1.00,
SVN,2.50,1.20,2.30,2.90,0.90,2.00,1.30,2.30,1.30,2.00,1.20,
CAN,3.30,3.80,3.70,3.60,2.80,3.20,2.70,3.10,3.20,3.50,,
FIN,0.90,1.10,1.00,1.10,0.70,0.80,1.00,1.10,0.80,0.60,1.10,1.10
ISL,4.00,,,,0.90,2.90,0.80,2.50,,0.50,,
ISR,7.90,6.50,5.80,7.80,5.50,4.70,4.40,6.60,6.00,5.60,4.40,
ITA,4.70,4.20,4.50,3.80,,,3.80,3.70,3.50,3.70,3.50,
USA,3.90,3.80,3.80,3.80,3.70,3.60,3.30,3.60,3.50,3.40,3.40,
GRC,1.00,1.00,2.70,1.70,1.80,2.10,1.50,1.70,1.40,1.70,3.00,
KOR,2.00,2.00,2.00,1.80,2.00,1.70,1.50,1.80,1.70,2.20,2.10,2.00
NOR,2.30,3.90,2.70,2.40,2.70,2.70,3.20,3.00,2.20,3.10,3.10,2.80
SWE,2.70,2.40,2.90,2.50,2.40,3.10,2.50,2.90,2.90,2.40,2.60,
AUT,1.10,1.70,0.80,1.00,1.20,1.70,1.70,2.00,1.90,2.00,1.40,2.30
EST,0.80,1.60,1.60,1.30,0.70,0.90,1.90,1.30,1.10,0.60,1.50,1.30
MEX,10.70,10.40,10.80,10.50,10.60,10.90,9.60,9.50,9.50,9.50,9.20,
AUS,2.90,2.70,2.60,2.60,2.90,,2.80,2.50,2.90,2.20,2.20,2.40
