Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CHE,175.00,22.00,60.00,47.00,48.00,92.00,5.00,25.00,8.00,59.00,6.00,
EST,2.00,1.00,,1.00,,,,2.00,,,1.00,4.00
HUN,24.00,8.00,6.00,19.00,7.00,15.00,1.00,5.00,4.00,10.00,5.00,15.00
AUT,96.00,37.00,13.00,11.00,4.00,17.00,4.00,5.00,1.00,15.00,,3.00
CAN,358.00,57.00,131.00,134.00,181.00,430.00,93.00,99.00,165.00,146.00,,
CHL,22.00,28.00,11.00,16.00,38.00,13.00,6.00,11.00,6.00,18.00,,
DEU,181.00,41.00,70.00,201.00,73.00,198.00,42.00,63.00,63.00,88.00,27.00,37.00
MEX,66.00,55.00,10.00,1.00,4.00,9.00,3.00,15.00,21.00,105.00,61.00,
SVK,42.00,17.00,17.00,33.00,11.00,11.00,6.00,7.00,8.00,5.00,5.00,
SVN,3.00,1.00,,3.00,2.00,6.00,4.00,,1.00,2.00,2.00,
ISR,5.00,1.00,,2.00,,1.00,1.00,2.00,,,2.00,
JPN,295.00,109.00,167.00,628.00,381.00,955.00,437.00,356.00,126.00,322.00,65.00,287.00
LUX,2.00,,4.00,1.00,,3.00,,4.00,1.00,,1.00,3.00
USA,1101.00,156.00,438.00,1093.00,679.00,1155.00,487.00,224.00,1031.00,654.00,142.00,
FRA,961.00,88.00,322.00,271.00,102.00,630.00,71.00,144.00,113.00,233.00,,
POL,223.00,13.00,26.00,90.00,16.00,39.00,8.00,13.00,9.00,40.00,8.00,46.00
BEL,,,,108.00,39.00,106.00,25.00,65.00,24.00,76.00,,
CZE,77.00,18.00,19.00,38.00,14.00,29.00,12.00,37.00,33.00,49.00,41.00,35.00
FIN,100.00,13.00,19.00,48.00,34.00,15.00,11.00,14.00,8.00,9.00,4.00,13.00
NZL,,5.00,4.00,7.00,20.00,7.00,10.00,5.00,5.00,6.00,,
IRL,24.00,5.00,2.00,3.00,4.00,1.00,1.00,1.00,2.00,2.00,1.00,
NLD,242.00,45.00,97.00,111.00,80.00,209.00,50.00,59.00,24.00,80.00,14.00,34.00
AUS,39.00,17.00,31.00,36.00,20.00,,8.00,44.00,31.00,32.00,15.00,29.00
ESP,473.00,55.00,240.00,117.00,59.00,361.00,34.00,46.00,55.00,66.00,14.00,59.00
ISL,14.00,1.00,3.00,,1.00,18.00,1.00,4.00,3.00,3.00,,
KOR,99.00,72.00,50.00,13.00,7.00,3.00,,2.00,4.00,9.00,13.00,14.00
SWE,299.00,44.00,118.00,45.00,58.00,120.00,22.00,33.00,24.00,45.00,5.00,
DNK,39.00,25.00,23.00,49.00,27.00,28.00,15.00,18.00,3.00,20.00,4.00,7.00
GBR,,27.00,30.00,54.00,21.00,29.00,11.00,18.00,32.00,83.00,32.00,
GRC,11.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,25.00,
ITA,969.00,201.00,290.00,620.00,,,195.00,269.00,294.00,323.00,150.00,
NOR,146.00,18.00,25.00,28.00,12.00,29.00,11.00,27.00,10.00,8.00,4.00,15.00
PRT,29.00,8.00,30.00,8.00,,,,14.00,9.00,18.00,7.00,6.00
